date,open,high,low,close,ffr,nfp,y,arah
4/5/2018,1333.5,1365.400024,1319,1356.5,1.75,394,1351.199951,Turun
4/12/2018,1351.199951,1354.199951,1334.599976,1351.199951,1.75,226,1321.199951,Turun
4/19/2018,1348.599976,1355.199951,1320,1321.199951,1.75,226,1302.599976,Turun
4/26/2018,1315.699951,1321.699951,1302.599976,1302.599976,1.75,226,1311.300049,Naik
5/3/2018,1310.699951,1312.699951,1308.5,1311.300049,1.75,226,1290.199951,Turun
5/10/2018,1312.199951,1320.800049,1285.400024,1290.199951,1.75,140,1289.300049,Turun
5/17/2018,1291.300049,1292.099976,1285.199951,1289.300049,1.75,140,1301.5,Naik
5/24/2018,1303.699951,1303.699951,1295.199951,1301.5,1.75,140,1297.099976,Turun
5/31/2018,1301,1306.800049,1288.900024,1297.099976,1.75,140,1296.900024,Turun
6/7/2018,1298.400024,1302.800049,1290.900024,1296.900024,1.75,322,1271.199951,Turun
6/14/2018,1297.199951,1307.699951,1269.900024,1271.199951,2,322,1252.800049,Turun
6/21/2018,1262.699951,1271.199951,1252.300049,1252.800049,2,322,1251.599976,Turun
6/28/2018,1251.699951,1254.099976,1237,1251.599976,2,322,1242.800049,Turun
7/5/2018,1255.5,1262.300049,1242.800049,1242.800049,2,322,1226.300049,Turun
7/12/2018,1240.900024,1247,1222.199951,1226.300049,2,218,1231.400024,Naik
7/19/2018,1227.199951,1231.400024,1211.699951,1231.400024,2,218,1217.900024,Turun
7/26/2018,1227.800049,1228.099976,1213,1217.900024,2,218,1212.599976,Turun
8/2/2018,1214.699951,1219.300049,1205.099976,1212.599976,2,218,1177.5,Turun
8/9/2018,1214.5,1216.400024,1174.599976,1177.5,2,60,1196.300049,Naik
8/16/2018,1173.199951,1196.300049,1161.400024,1196.300049,2,60,1204.5,Naik
8/23/2018,1189.300049,1217,1184.900024,1204.5,2,60,1194.900024,Turun
8/30/2018,1205.400024,1208.199951,1189.900024,1194.900024,2,60,1204.699951,Naik
9/6/2018,1202,1205,1190.400024,1204.699951,2,60,1202.199951,Turun
9/13/2018,1203.400024,1203.400024,1195,1202.199951,2,257,1194,Turun
9/20/2018,1206.199951,1206.199951,1194,1194,2,257,1198.300049,Naik
9/27/2018,1194.599976,1206,1180,1198.300049,2.25,257,1189.300049,Turun
10/4/2018,1199.300049,1205.300049,1183.699951,1189.300049,2.25,257,1223.699951,Naik
10/11/2018,1198.099976,1232.300049,1196.300049,1223.699951,2.25,81,1227.800049,Naik
10/18/2018,1226.5,1237.800049,1219.599976,1227.800049,2.25,81,1212.300049,Turun
10/25/2018,1238.599976,1238.599976,1212,1212.300049,2.25,81,1226.199951,Naik
11/1/2018,1215.400024,1236,1215.400024,1226.199951,2.25,81,1207.900024,Turun
11/8/2018,1222.900024,1222.900024,1196.300049,1207.900024,2.25,169,1225.800049,Naik
11/15/2018,1212.800049,1228.800049,1212.800049,1225.800049,2.25,169,1221.400024,Turun
11/22/2018,1224.800049,1224.800049,1211.199951,1221.400024,2.25,169,1237.099976,Naik
11/29/2018,1221,1241.400024,1216.099976,1237.099976,2.25,169,1244.400024,Naik
12/6/2018,1237.5,1249.800049,1234.800049,1244.400024,2.25,169,1252.099976,Naik
12/13/2018,1243.5,1255.800049,1234.099976,1252.099976,2.25,90,1269.199951,Naik
12/20/2018,1243.199951,1277.400024,1243.199951,1269.199951,2.5,90,1281,Naik
12/27/2018,1276.699951,1286,1273.5,1281,2.5,90,1289.300049,Naik
